,KRW,USD
0,9716179.31,8269.52
1,9712145.63,8269.45
2,9708949.8,8267.41
3,9708949.8,8267.41
4,9708949.8,8267.41
5,9708949.8,8268.28
6,9708790.31,8263.87
7,9708790.31,8263.87
8,9708790.31,8263.87
9,9707615.73,8264.38
10,9707629.84,8263.35
11,9707629.84,8263.27
12,9707629.84,8263.35
13,9710972.79,8263.57
14,9710992.22,8263.84
15,9716274.84,8263.84
16,9716274.9,8265.94
17,9714784.38,8265.94
18,9714784.38,8265.94
0,9714784.38,8266.07
